Class Index,True Pos,True Neg,False Pos,False Neg,Selectivity,Specivity,Balanced Accuracy
overall single type,119,3208,39,72,0.62303664921466,0.987988912842624,0.805512781028642
overall double type,270,3284,76,150,0.642857142857143,0.977380952380952,0.810119047619048
