,50
0,5.561197223699478
1,8.34897490569229
2,9.999056179220046
3,-1.1441539011639744e-11
4,6.4325103148891625
5,5.905441613884919
6,6.146988930496535
7,8.883613850846276
8,9.502339852207916
9,8.131118710298436
10,7.131550610290325
11,7.968873326485168
12,8.645133291112554
13,7.5224061658708345
14,7.316604160730275
15,4.751035962296503
16,7.679952463408299
17,4.275932366052072
18,5.413020510099892e-12
19,9.03989662229835
20,4.2759323660690205
21,7.293523098937328
22,9.619805025155681e-13
23,-1.4038152685699376e-11
24,8.032507573230275
25,3.8418275166104525
26,5.982055080645294
27,6.531031724075526
28,7.357370193307547
29,4.999680803723158
30,6.98579568203515
31,8.99956679811143
32,5.452650710183063
33,6.795082735281521
34,6.7541400292278135
35,8.003212561316715
36,8.226542550555187
37,7.238331559557373
38,-8.76964808640668e-12
39,7.100911631843369
40,4.892336314568919
41,6.960107163582356
42,1.83663127528342e-11
43,5.545872195295349
44,-3.2613220358983752e-12
45,5.734291576342447
46,6.532382921901106
47,6.155462760396452
48,6.733935074015511
49,-1.1333511962677434e-12
50,5.613032287990197
51,8.82758677275579e-13
52,3.0187866321621524
53,6.747762744974724
54,6.757951965390095
55,3.8008287698278664
56,7.92120037545989
57,8.70204342997133
58,1.2757243236879666e-12
59,6.569147094244233
60,-1.1745132054664602e-11
61,8.85694671386598
62,3.800828769833291
63,-5.915176729405782e-12
64,4.556873045636095
65,4.5953348821678625e-12
66,4.275932366051906
67,4.275932366057445
68,4.822521431288738
69,7.823340547278533
70,7.629537798822856
71,-1.2513200651300284e-11
72,6.77318000342299
73,6.320864639952761
74,3.8008287698248076
75,2.58753139899823
76,6.60167989632167
77,6.274856817716351
78,-2.8199984528484066e-12
79,7.091157804427321
80,8.112080885236866e-12
81,8.2785222316674e-12
82,1.0196682068674363e-11
83,1.2088900209137892e-11
84,7.757589762141896e-12
85,6.94280760682989
86,-7.537822281752692e-13
87,7.968984692059201
88,6.204062548105315
89,3.0187866321690677
90,7.050489159826111
91,7.645192233357911
92,8.290485325417142
93,5.791695970826632
94,7.277947371390222
95,5.999361261529485
96,6.155462760410983
97,9.723546774888697e-12
98,6.626456836870242
99,1.667751459910496e-11
100,-1.5118524219453273e-12
101,-9.311587271229237e-12
102,-2.04331085915277e-12
103,-5.746461524538402e-12
104,4.5568730456302236
105,5.8118629290281
106,2.2318434432329745e-13
107,-4.2766952524936977e-13
108,7.645192233341578
109,-2.6814983788156086e-12
110,-3.512581143076001e-13
111,4.906610057931871
112,-2.344958467422944e-11
113,3.881297098508103
114,6.482987691522409
115,5.519936315173351
116,6.844115518950418
117,4.556873045641073
118,-1.7560808390056226e-11
119,7.079544639626076
120,4.906610057938485
121,5.066604287168728
122,7.390833920647801
123,6.04792874209473e-13
124,7.460970413927521
125,7.073809002274546
126,-2.6856492297209786e-12
127,6.832611505375811
128,4.895654752388744
129,-1.6800540749149293e-11
130,5.767502681280437
131,4.360411718456203
